,country,year,age,sex,Average_suicides_per_capita
26292,Ukraine,2005-01-01,55-74 years,female,10.22
21921,Saint Vincent and Grenadines,2015-01-01,15-24 years,male,10.22
13449,Japan,1992-01-01,15-24 years,male,10.22
7594,Denmark,2008-01-01,55-74 years,female,10.22
13798,Kazakhstan,1995-01-01,25-34 years,female,10.22
12460,Israel,1988-01-01,55-74 years,female,10.22
14079,Kiribati,1993-01-01,5-14 years,male,10.22
8784,Finland,1990-01-01,75+ years,female,10.22
16807,Mexico,2005-01-01,25-34 years,male,10.22
27235,Uruguay,1986-01-01,25-34 years,male,10.22
16855,Mexico,2009-01-01,25-34 years,male,10.22
10355,Greece,2012-01-01,55-74 years,male,10.21
11665,Hungary,2016-01-01,15-24 years,male,10.21
12443,Israel,1987-01-01,25-34 years,male,10.21
13476,Japan,1994-01-01,35-54 years,female,10.21
16905,Mexico,2013-01-01,35-54 years,male,10.21
27432,Uruguay,2004-01-01,55-74 years,female,10.21
15104,Lithuania,2000-01-01,15-24 years,female,10.2
26775,United Kingdom,2009-01-01,75+ years,male,10.2
17642,New Zealand,2001-01-01,25-34 years,female,10.19
18399,Panama,2002-01-01,25-34 years,male,10.19
9442,France,2014-01-01,55-74 years,female,10.19
6739,Cuba,2001-01-01,15-24 years,male,10.19
13810,Kazakhstan,1996-01-01,25-34 years,female,10.19
16575,Mexico,1985-01-01,75+ years,male,10.19
12983,Italy,2001-01-01,25-34 years,male,10.18
4029,Belize,2006-01-01,15-24 years,male,10.18
20735,Romania,2000-01-01,15-24 years,male,10.18
22557,Singapore,1998-01-01,15-24 years,male,10.18
24442,Sweden,1993-01-01,25-34 years,female,10.18
16099,Malta,2009-01-01,15-24 years,male,10.18
18509,Panama,2011-01-01,35-54 years,male,10.17
11750,Iceland,1991-01-01,35-54 years,female,10.17
26689,United Kingdom,2002-01-01,55-74 years,male,10.17
3774,Belgium,2012-01-01,75+ years,female,10.17
21132,Russian Federation,2005-01-01,35-54 years,female,10.17
4357,Brazil,2000-01-01,35-54 years,male,10.16
3095,Barbados,2006-01-01,25-34 years,male,10.16
7731,Ecuador,1988-01-01,15-24 years,male,10.16
23670,Spain,1996-01-01,75+ years,female,10.16
12618,Israel,2001-01-01,75+ years,female,10.15
11360,Guyana,2013-01-01,55-74 years,female,10.15
26701,United Kingdom,2003-01-01,55-74 years,male,10.15
19654,Portugal,2012-01-01,75+ years,female,10.15
22679,Singapore,2008-01-01,25-34 years,male,10.15
11882,Iceland,2002-01-01,35-54 years,female,10.14
25422,Trinidad and Tobago,1994-01-01,25-34 years,female,10.14
21172,Russian Federation,2008-01-01,55-74 years,female,10.14
21884,Saint Vincent and Grenadines,2012-01-01,15-24 years,female,10.14
22092,Serbia,2008-01-01,35-54 years,female,10.14
27512,Uruguay,2012-01-01,35-54 years,female,10.14
17118,Netherlands,1989-01-01,35-54 years,female,10.13
634,Argentina,1988-01-01,75+ years,female,10.13
13045,Italy,2006-01-01,35-54 years,male,10.13
7851,Ecuador,1998-01-01,15-24 years,male,10.13
13936,Kazakhstan,2006-01-01,55-74 years,female,10.12
5993,Colombia,2014-01-01,55-74 years,male,10.12
3574,Belgium,1996-01-01,25-34 years,female,10.12
16063,Malta,2006-01-01,15-24 years,male,10.12
15346,Luxembourg,1988-01-01,35-54 years,female,10.12
17106,Netherlands,1988-01-01,35-54 years,female,10.12
15142,Lithuania,2003-01-01,25-34 years,female,10.12
24534,Sweden,2000-01-01,75+ years,female,10.11
17254,Netherlands,2000-01-01,55-74 years,female,10.11
7975,Ecuador,2008-01-01,35-54 years,male,10.11
24640,Sweden,2009-01-01,55-74 years,female,10.11
18146,Norway,2009-01-01,25-34 years,female,10.11
17158,Netherlands,1992-01-01,55-74 years,female,10.11
16494,Mauritius,2011-01-01,15-24 years,female,10.1
8107,El Salvador,1993-01-01,35-54 years,male,10.1
16059,Malta,2005-01-01,55-74 years,male,10.1
2393,Bahamas,1993-01-01,55-74 years,male,10.1
14596,Kyrgyzstan,1999-01-01,55-74 years,female,10.1
24336,Suriname,2012-01-01,35-54 years,female,10.1
24979,Thailand,1985-01-01,15-24 years,male,10.1
10249,Greece,2003-01-01,75+ years,male,10.1
9583,Georgia,2004-01-01,35-54 years,male,10.1
15300,Lithuania,2016-01-01,35-54 years,female,10.09
12971,Italy,2000-01-01,25-34 years,male,10.09
9503,Georgia,1995-01-01,55-74 years,male,10.09
27797,Uzbekistan,2013-01-01,15-24 years,male,10.09
9738,Germany,1992-01-01,35-54 years,female,10.09
16065,Malta,2006-01-01,25-34 years,male,10.09
7188,Czech Republic,1997-01-01,55-74 years,female,10.08
9951,Germany,2010-01-01,15-24 years,male,10.08
24558,Sweden,2002-01-01,75+ years,female,10.08
23232,Slovenia,2011-01-01,35-54 years,female,10.08
26629,United Kingdom,1997-01-01,55-74 years,male,10.08
745,Argentina,1998-01-01,15-24 years,male,10.08
18160,Norway,2010-01-01,35-54 years,female,10.08
7999,Ecuador,2010-01-01,35-54 years,male,10.07
24562,Sweden,2003-01-01,25-34 years,female,10.07
6806,Cuba,2006-01-01,55-74 years,female,10.07
23562,Spain,1987-01-01,75+ years,female,10.07
27314,Uruguay,1994-01-01,75+ years,female,10.07
22401,Singapore,1985-01-01,15-24 years,male,10.07
13788,Kazakhstan,1994-01-01,35-54 years,female,10.07
12018,Iceland,2013-01-01,55-74 years,female,10.06
24606,Sweden,2006-01-01,75+ years,female,10.06
4847,Bulgaria,2010-01-01,25-34 years,male,10.06
24995,Thailand,1986-01-01,35-54 years,male,10.06
18353,Panama,1998-01-01,35-54 years,male,10.06
4912,Cabo Verde,2011-01-01,55-74 years,female,10.06
13930,Kazakhstan,2006-01-01,25-34 years,female,10.06
20303,Republic of Korea,1991-01-01,15-24 years,male,10.06
3454,Belgium,1986-01-01,25-34 years,female,10.06
13912,Kazakhstan,2004-01-01,55-74 years,female,10.06
7649,Denmark,2013-01-01,25-34 years,male,10.06
25325,Trinidad and Tobago,1986-01-01,15-24 years,male,10.05
22965,Slovakia,2008-01-01,15-24 years,male,10.05
18164,Norway,2010-01-01,55-74 years,female,10.05
747,Argentina,1998-01-01,25-34 years,male,10.05
11700,Iceland,1987-01-01,25-34 years,female,10.05
10567,Grenada,2005-01-01,35-54 years,male,10.05
13461,Japan,1993-01-01,15-24 years,male,10.05
9100,France,1986-01-01,25-34 years,female,10.05
20651,Romania,1993-01-01,15-24 years,male,10.05
12247,Ireland,2000-01-01,75+ years,male,10.04
14512,Kyrgyzstan,1992-01-01,55-74 years,female,10.04
16857,Mexico,2009-01-01,35-54 years,male,10.04
5809,Colombia,1999-01-01,35-54 years,male,10.04
22180,Serbia,2015-01-01,55-74 years,female,10.04
21867,Saint Vincent and Grenadines,2010-01-01,5-14 years,male,10.04
24429,Sweden,1992-01-01,15-24 years,male,10.04
4217,Brazil,1988-01-01,55-74 years,male,10.04
17456,New Zealand,1985-01-01,55-74 years,female,10.03
3382,Belarus,2009-01-01,25-34 years,female,10.03
7775,Ecuador,1991-01-01,55-74 years,male,10.03
21347,Saint Lucia,1990-01-01,25-34 years,male,10.03
4229,Brazil,1989-01-01,55-74 years,male,10.03
15309,Luxembourg,1985-01-01,25-34 years,male,10.03
7958,Ecuador,2007-01-01,15-24 years,female,10.03
14682,Kyrgyzstan,2006-01-01,75+ years,female,10.03
16506,Mauritius,2012-01-01,15-24 years,female,10.03
13908,Kazakhstan,2004-01-01,35-54 years,female,10.02
13956,Kazakhstan,2008-01-01,35-54 years,female,10.02
17980,Norway,1995-01-01,35-54 years,female,10.02
17031,Montenegro,2007-01-01,15-24 years,male,10.02
12743,Israel,2012-01-01,25-34 years,male,10.02
22546,Singapore,1997-01-01,25-34 years,female,10.02
17594,New Zealand,1997-01-01,25-34 years,female,10.02
4439,Brazil,2007-01-01,25-34 years,male,10.01
16843,Mexico,2008-01-01,25-34 years,male,10.01
12697,Israel,2008-01-01,35-54 years,male,10.01
23988,Sri Lanka,2001-01-01,35-54 years,female,10.01
7909,Ecuador,2002-01-01,75+ years,male,10.01
2154,Austria,2015-01-01,55-74 years,female,10.01
8506,Estonia,2007-01-01,55-74 years,female,10.0
4345,Brazil,1999-01-01,35-54 years,male,10.0
16783,Mexico,2003-01-01,25-34 years,male,10.0
27290,Uruguay,1990-01-01,75+ years,female,10.0
20043,Puerto Rico,2015-01-01,25-34 years,male,10.0
6372,Croatia,1995-01-01,35-54 years,female,10.0
3013,Barbados,1995-01-01,35-54 years,male,10.0
25383,Trinidad and Tobago,1990-01-01,75+ years,male,10.0
8494,Estonia,2006-01-01,55-74 years,female,10.0
12863,Italy,1991-01-01,25-34 years,male,10.0
8458,Estonia,2003-01-01,55-74 years,female,9.99
26304,Ukraine,2006-01-01,55-74 years,female,9.99
22104,Serbia,2009-01-01,35-54 years,female,9.99
21709,Saint Vincent and Grenadines,1997-01-01,35-54 years,male,9.98
15580,Luxembourg,2007-01-01,75+ years,female,9.98
23646,Spain,1994-01-01,75+ years,female,9.98
687,Argentina,1993-01-01,25-34 years,male,9.97
24316,Suriname,2010-01-01,55-74 years,female,9.97
27470,Uruguay,2007-01-01,75+ years,female,9.97
19364,Portugal,1985-01-01,55-74 years,female,9.97
12575,Israel,1998-01-01,25-34 years,male,9.97
425,Antigua and Barbuda,2000-01-01,35-54 years,male,9.97
15276,Lithuania,2014-01-01,35-54 years,female,9.97
4181,Brazil,1985-01-01,55-74 years,male,9.97
18345,Panama,1997-01-01,55-74 years,male,9.96
10859,Guatemala,1998-01-01,75+ years,male,9.96
3738,Belgium,2009-01-01,75+ years,female,9.96
15058,Lithuania,1996-01-01,25-34 years,female,9.96
18028,Norway,1999-01-01,35-54 years,female,9.96
24690,Sweden,2013-01-01,75+ years,female,9.96
5987,Colombia,2014-01-01,25-34 years,male,9.96
18200,Norway,2013-01-01,55-74 years,female,9.95
7055,Cyprus,2013-01-01,35-54 years,male,9.95
16419,Mauritius,2004-01-01,55-74 years,male,9.95
9058,Finland,2013-01-01,55-74 years,female,9.95
18659,Paraguay,1995-01-01,75+ years,male,9.95
185,Albania,2004-01-01,35-54 years,male,9.95
7678,Denmark,2015-01-01,55-74 years,female,9.95
5951,Colombia,2011-01-01,25-34 years,male,9.95
4932,Canada,1986-01-01,35-54 years,female,9.94
12839,Italy,1989-01-01,25-34 years,male,9.94
24907,Switzerland,2010-01-01,15-24 years,male,9.94
17196,Netherlands,1995-01-01,75+ years,female,9.94
14706,Kyrgyzstan,2008-01-01,75+ years,female,9.94
14540,Kyrgyzstan,1995-01-01,15-24 years,female,9.94
24520,Sweden,1999-01-01,55-74 years,female,9.94
17394,Netherlands,2012-01-01,35-54 years,female,9.94
21334,Saint Lucia,1989-01-01,25-34 years,female,9.93
13390,Japan,1987-01-01,25-34 years,female,9.93
13057,Italy,2007-01-01,35-54 years,male,9.93
18781,Paraguay,2006-01-01,15-24 years,male,9.93
12796,Italy,1985-01-01,55-74 years,female,9.93
11883,Iceland,2002-01-01,35-54 years,male,9.93
21118,Russian Federation,2004-01-01,25-34 years,female,9.93
9351,France,2007-01-01,15-24 years,male,9.93
24504,Sweden,1998-01-01,35-54 years,female,9.92
10919,Guatemala,2003-01-01,75+ years,male,9.92
18457,Panama,2007-01-01,15-24 years,male,9.92
17788,New Zealand,2013-01-01,35-54 years,female,9.92
14694,Kyrgyzstan,2007-01-01,75+ years,female,9.92
9339,France,2006-01-01,15-24 years,male,9.92
18297,Panama,1987-01-01,55-74 years,male,9.92
7745,Ecuador,1989-01-01,25-34 years,male,9.91
27546,Uruguay,2015-01-01,25-34 years,female,9.91
9963,Germany,2011-01-01,15-24 years,male,9.91
22665,Singapore,2007-01-01,15-24 years,male,9.91
17938,Norway,1991-01-01,75+ years,female,9.9
9038,Finland,2012-01-01,15-24 years,female,9.9
25528,Trinidad and Tobago,2003-01-01,15-24 years,female,9.9
24976,Switzerland,2015-01-01,75+ years,female,9.9
12172,Ireland,1994-01-01,55-74 years,female,9.9
16831,Mexico,2007-01-01,25-34 years,male,9.89
12851,Italy,1990-01-01,25-34 years,male,9.89
10579,Grenada,2006-01-01,35-54 years,male,9.89
26669,United Kingdom,2001-01-01,15-24 years,male,9.89
6754,Cuba,2002-01-01,35-54 years,female,9.89
27805,Uzbekistan,2013-01-01,55-74 years,male,9.89
27763,Uzbekistan,2010-01-01,25-34 years,male,9.89
26501,United Kingdom,1987-01-01,15-24 years,male,9.88
14036,Kazakhstan,2015-01-01,15-24 years,female,9.88
11850,Iceland,1999-01-01,55-74 years,female,9.88
17702,New Zealand,2006-01-01,25-34 years,female,9.88
4319,Brazil,1997-01-01,25-34 years,male,9.87
5743,Colombia,1993-01-01,75+ years,male,9.87
5052,Canada,1996-01-01,35-54 years,female,9.87
24652,Sweden,2010-01-01,55-74 years,female,9.87
6480,Croatia,2004-01-01,35-54 years,female,9.87
11390,Hungary,1993-01-01,25-34 years,female,9.87
11276,Guyana,2006-01-01,55-74 years,female,9.87
22400,Singapore,1985-01-01,15-24 years,female,9.87
4170,Bosnia and Herzegovina,2014-01-01,75+ years,female,9.87
21056,Russian Federation,1999-01-01,15-24 years,female,9.86
11629,Hungary,2013-01-01,15-24 years,male,9.86
26108,Ukraine,1990-01-01,35-54 years,female,9.86
24594,Sweden,2005-01-01,75+ years,female,9.86
8992,Finland,2008-01-01,25-34 years,female,9.86
17230,Netherlands,1998-01-01,55-74 years,female,9.86
20929,Romania,2016-01-01,25-34 years,male,9.86
12331,Ireland,2007-01-01,75+ years,male,9.86
13872,Kazakhstan,2001-01-01,35-54 years,female,9.86
7590,Denmark,2008-01-01,35-54 years,female,9.86
7922,Ecuador,2004-01-01,15-24 years,female,9.86
7370,Czech Republic,2012-01-01,75+ years,female,9.85
4295,Brazil,1995-01-01,25-34 years,male,9.85
13752,Kazakhstan,1991-01-01,35-54 years,female,9.85
17960,Norway,1993-01-01,55-74 years,female,9.85
27769,Uzbekistan,2010-01-01,55-74 years,male,9.84
13896,Kazakhstan,2003-01-01,35-54 years,female,9.84
7767,Ecuador,1991-01-01,15-24 years,male,9.84
7889,Ecuador,2001-01-01,25-34 years,male,9.84
15618,Luxembourg,2011-01-01,15-24 years,female,9.84
11844,Iceland,1999-01-01,25-34 years,female,9.84
11948,Iceland,2007-01-01,75+ years,female,9.84
675,Argentina,1992-01-01,25-34 years,male,9.84
13894,Kazakhstan,2003-01-01,25-34 years,female,9.83
25434,Trinidad and Tobago,1995-01-01,25-34 years,female,9.83
24955,Switzerland,2014-01-01,15-24 years,male,9.83
27300,Uruguay,1993-01-01,55-74 years,female,9.83
8566,Estonia,2012-01-01,55-74 years,female,9.83
4956,Canada,1988-01-01,35-54 years,female,9.83
19611,Portugal,2009-01-01,25-34 years,male,9.83
16921,Mexico,2014-01-01,55-74 years,male,9.83
21873,Saint Vincent and Grenadines,2011-01-01,15-24 years,male,9.83
13652,Japan,2009-01-01,15-24 years,female,9.82
9112,France,1987-01-01,25-34 years,female,9.82
13366,Japan,1985-01-01,25-34 years,female,9.82
6728,Cuba,2000-01-01,25-34 years,female,9.82
16238,Mauritius,1989-01-01,55-74 years,female,9.82
20358,Republic of Korea,1995-01-01,55-74 years,female,9.82
14024,Kazakhstan,2014-01-01,15-24 years,female,9.82
1410,Aruba,2010-01-01,55-74 years,female,9.82
2425,Bahamas,1996-01-01,35-54 years,male,9.82
2164,Austria,2016-01-01,55-74 years,female,9.81
233,Albania,2008-01-01,35-54 years,male,9.81
6704,Cuba,1998-01-01,25-34 years,female,9.81
8116,El Salvador,1995-01-01,25-34 years,female,9.81
16819,Mexico,2006-01-01,25-34 years,male,9.81
7927,Ecuador,2004-01-01,35-54 years,male,9.81
15092,Lithuania,1999-01-01,15-24 years,female,9.81
25095,Thailand,1997-01-01,55-74 years,male,9.81
18645,Paraguay,1994-01-01,55-74 years,male,9.8
26486,United Kingdom,1985-01-01,75+ years,female,9.8
9581,Georgia,2004-01-01,25-34 years,male,9.8
7815,Ecuador,1995-01-01,15-24 years,male,9.8
21310,Saint Lucia,1987-01-01,25-34 years,female,9.8
9426,France,2013-01-01,35-54 years,female,9.8
22977,Slovakia,2009-01-01,15-24 years,male,9.8
24688,Sweden,2013-01-01,55-74 years,female,9.8
23634,Spain,1993-01-01,75+ years,female,9.8
11832,Iceland,1998-01-01,25-34 years,female,9.8
13924,Kazakhstan,2005-01-01,55-74 years,female,9.79
13944,Kazakhstan,2007-01-01,35-54 years,female,9.79
4403,Brazil,2004-01-01,25-34 years,male,9.79
18485,Panama,2009-01-01,35-54 years,male,9.79
8149,El Salvador,1997-01-01,75+ years,male,9.79
14916,Latvia,2005-01-01,35-54 years,female,9.79
18068,Norway,2002-01-01,55-74 years,female,9.78
10751,Guatemala,1989-01-01,75+ years,male,9.78
3396,Belarus,2010-01-01,35-54 years,female,9.78
4427,Brazil,2006-01-01,25-34 years,male,9.78
21008,Russian Federation,1995-01-01,15-24 years,female,9.78
19402,Portugal,1988-01-01,75+ years,female,9.78
23555,Spain,1987-01-01,25-34 years,male,9.78
4367,Brazil,2001-01-01,25-34 years,male,9.78
16881,Mexico,2011-01-01,35-54 years,male,9.78
9387,France,2010-01-01,15-24 years,male,9.78
16723,Mexico,1998-01-01,25-34 years,male,9.77
13127,Italy,2013-01-01,25-34 years,male,9.77
27557,Uzbekistan,1990-01-01,15-24 years,male,9.77
22684,Singapore,2008-01-01,55-74 years,female,9.77
14484,Kyrgyzstan,1990-01-01,35-54 years,female,9.77
17139,Netherlands,1991-01-01,15-24 years,male,9.77
12537,Israel,1995-01-01,15-24 years,male,9.77
22833,Slovakia,1997-01-01,15-24 years,male,9.76
7823,Ecuador,1995-01-01,55-74 years,male,9.76
11880,Iceland,2002-01-01,25-34 years,female,9.76
23706,Spain,1999-01-01,75+ years,female,9.76
27212,United States,2015-01-01,35-54 years,female,9.76
18497,Panama,2010-01-01,35-54 years,male,9.75
2094,Austria,2010-01-01,55-74 years,female,9.75
15607,Luxembourg,2010-01-01,15-24 years,male,9.75
20435,Republic of Korea,2002-01-01,15-24 years,male,9.75
19765,Puerto Rico,1992-01-01,15-24 years,male,9.75
11112,Guyana,1992-01-01,15-24 years,female,9.75
9898,Germany,2005-01-01,55-74 years,female,9.75
16681,Mexico,1994-01-01,55-74 years,male,9.75
8916,Finland,2001-01-01,75+ years,female,9.74
18777,Paraguay,2005-01-01,55-74 years,male,9.74
19462,Portugal,1993-01-01,75+ years,female,9.74
7482,Denmark,1999-01-01,35-54 years,female,9.74
6157,Costa Rica,1997-01-01,35-54 years,male,9.74
8942,Finland,2004-01-01,15-24 years,female,9.74
6396,Croatia,1997-01-01,35-54 years,female,9.74
12551,Israel,1996-01-01,25-34 years,male,9.74
12496,Israel,1991-01-01,55-74 years,female,9.74
13884,Kazakhstan,2002-01-01,35-54 years,female,9.74
24328,Suriname,2011-01-01,55-74 years,female,9.74
12781,Israel,2015-01-01,35-54 years,male,9.74
18381,Panama,2000-01-01,55-74 years,male,9.73
5981,Colombia,2013-01-01,55-74 years,male,9.73
7494,Denmark,2000-01-01,35-54 years,female,9.73
25384,Trinidad and Tobago,1991-01-01,15-24 years,female,9.73
7005,Cyprus,2009-01-01,25-34 years,male,9.73
12573,Israel,1998-01-01,15-24 years,male,9.73
21156,Russian Federation,2007-01-01,35-54 years,female,9.72
21337,Saint Lucia,1989-01-01,35-54 years,male,9.72
24496,Sweden,1997-01-01,55-74 years,female,9.72
27785,Uzbekistan,2012-01-01,15-24 years,male,9.72
16479,Mauritius,2009-01-01,55-74 years,male,9.72
10031,Greece,1985-01-01,55-74 years,male,9.72
24962,Switzerland,2014-01-01,55-74 years,female,9.72
17218,Netherlands,1997-01-01,55-74 years,female,9.72
22593,Singapore,2001-01-01,15-24 years,male,9.71
19659,Portugal,2013-01-01,25-34 years,male,9.71
19599,Portugal,2008-01-01,25-34 years,male,9.71
11868,Iceland,2001-01-01,25-34 years,female,9.71
21144,Russian Federation,2006-01-01,35-54 years,female,9.71
12271,Ireland,2002-01-01,75+ years,male,9.7
9874,Germany,2003-01-01,55-74 years,female,9.7
13616,Japan,2006-01-01,15-24 years,female,9.7
9891,Germany,2005-01-01,15-24 years,male,9.7
7548,Denmark,2004-01-01,75+ years,female,9.69
27723,Uzbekistan,2003-01-01,75+ years,male,9.69
20483,Republic of Korea,2006-01-01,15-24 years,male,9.69
17278,Netherlands,2002-01-01,55-74 years,female,9.69
3622,Belgium,2000-01-01,25-34 years,female,9.69
5975,Colombia,2013-01-01,25-34 years,male,9.69
13413,Japan,1989-01-01,15-24 years,male,9.69
10187,Greece,1998-01-01,55-74 years,male,9.69
2030,Austria,2005-01-01,35-54 years,female,9.68
16861,Mexico,2009-01-01,55-74 years,male,9.68
24989,Thailand,1985-01-01,75+ years,male,9.68
10363,Greece,2013-01-01,35-54 years,male,9.67
22068,Serbia,2006-01-01,35-54 years,female,9.67
17410,Netherlands,2013-01-01,55-74 years,female,9.67
10043,Greece,1986-01-01,55-74 years,male,9.67
13870,Kazakhstan,2001-01-01,25-34 years,female,9.67
1018,Armenia,1994-01-01,75+ years,female,9.67
1113,Armenia,2002-01-01,55-74 years,male,9.67
8844,Finland,1995-01-01,75+ years,female,9.67
19921,Puerto Rico,2005-01-01,15-24 years,male,9.67
8045,Ecuador,2014-01-01,25-34 years,male,9.67
22552,Singapore,1997-01-01,55-74 years,female,9.67
12539,Israel,1995-01-01,25-34 years,male,9.66
11796,Iceland,1995-01-01,25-34 years,female,9.66
2699,Bahrain,1999-01-01,25-34 years,male,9.66
18100,Norway,2005-01-01,35-54 years,female,9.66
16167,Malta,2014-01-01,55-74 years,male,9.66
26609,United Kingdom,1996-01-01,15-24 years,male,9.66
632,Argentina,1988-01-01,55-74 years,female,9.66
16867,Mexico,2010-01-01,25-34 years,male,9.65
18539,Panama,2013-01-01,75+ years,male,9.65
16359,Mauritius,1999-01-01,55-74 years,male,9.65
16071,Malta,2006-01-01,55-74 years,male,9.65
20783,Romania,2004-01-01,15-24 years,male,9.65
17398,Netherlands,2012-01-01,55-74 years,female,9.65
11818,Iceland,1997-01-01,15-24 years,female,9.64
18104,Norway,2005-01-01,55-74 years,female,9.64
13604,Japan,2005-01-01,15-24 years,female,9.64
13786,Kazakhstan,1994-01-01,25-34 years,female,9.64
8944,Finland,2004-01-01,25-34 years,female,9.64
6692,Cuba,1997-01-01,25-34 years,female,9.64
5945,Colombia,2010-01-01,55-74 years,male,9.63
8978,Finland,2007-01-01,15-24 years,female,9.63
12424,Israel,1985-01-01,55-74 years,female,9.63
27200,United States,2014-01-01,35-54 years,female,9.63
6117,Costa Rica,1994-01-01,15-24 years,male,9.63
12870,Italy,1991-01-01,75+ years,female,9.63
11152,Guyana,1995-01-01,35-54 years,female,9.63
9050,Finland,2013-01-01,15-24 years,female,9.63
9030,Finland,2011-01-01,35-54 years,female,9.62
15332,Luxembourg,1987-01-01,25-34 years,female,9.62
22600,Singapore,2001-01-01,55-74 years,female,9.62
8258,El Salvador,2007-01-01,15-24 years,female,9.62
18092,Norway,2004-01-01,55-74 years,female,9.61
12808,Italy,1986-01-01,55-74 years,female,9.61
19381,Portugal,1987-01-01,15-24 years,male,9.6
16759,Mexico,2001-01-01,25-34 years,male,9.6
17668,New Zealand,2003-01-01,35-54 years,female,9.6
16865,Mexico,2010-01-01,15-24 years,male,9.6
3298,Belarus,1999-01-01,25-34 years,female,9.6
16385,Mauritius,2001-01-01,75+ years,male,9.6
9184,France,1993-01-01,25-34 years,female,9.6
21154,Russian Federation,2007-01-01,25-34 years,female,9.6
24568,Sweden,2003-01-01,55-74 years,female,9.6
24991,Thailand,1986-01-01,15-24 years,male,9.6
20804,Romania,2005-01-01,75+ years,female,9.59
27404,Uruguay,2002-01-01,35-54 years,female,9.59
1798,Austria,1986-01-01,15-24 years,female,9.59
3408,Belarus,2011-01-01,35-54 years,female,9.59
24212,Suriname,2002-01-01,15-24 years,female,9.59
16885,Mexico,2011-01-01,55-74 years,male,9.58
639,Argentina,1989-01-01,25-34 years,male,9.58
121,Albania,1999-01-01,15-24 years,male,9.58
16364,Mauritius,2000-01-01,25-34 years,female,9.58
7506,Denmark,2001-01-01,35-54 years,female,9.58
9703,Georgia,2015-01-01,35-54 years,male,9.58
15662,Luxembourg,2014-01-01,55-74 years,female,9.57
26340,Ukraine,2009-01-01,55-74 years,female,9.57
7819,Ecuador,1995-01-01,35-54 years,male,9.57
25721,Turkmenistan,1987-01-01,15-24 years,male,9.57
22878,Slovakia,2000-01-01,75+ years,female,9.57
22237,Seychelles,2002-01-01,35-54 years,male,9.57
22474,Singapore,1991-01-01,25-34 years,female,9.57
25364,Trinidad and Tobago,1989-01-01,35-54 years,female,9.57
24874,Switzerland,2007-01-01,35-54 years,female,9.57
17492,New Zealand,1988-01-01,55-74 years,female,9.56
16434,Mauritius,2006-01-01,15-24 years,female,9.56
10763,Guatemala,1990-01-01,75+ years,male,9.56
17962,Norway,1993-01-01,75+ years,female,9.56
23543,Spain,1986-01-01,25-34 years,male,9.56
18212,Norway,2014-01-01,55-74 years,female,9.56
20089,Qatar,2005-01-01,15-24 years,male,9.56
17825,Nicaragua,2012-01-01,35-54 years,male,9.56
4379,Brazil,2002-01-01,25-34 years,male,9.56
16795,Mexico,2004-01-01,25-34 years,male,9.56
23807,Spain,2008-01-01,25-34 years,male,9.55
27396,Uruguay,2001-01-01,55-74 years,female,9.55
24886,Switzerland,2008-01-01,35-54 years,female,9.55
22486,Singapore,1992-01-01,25-34 years,female,9.55
22732,Singapore,2012-01-01,55-74 years,female,9.55
25085,Thailand,1996-01-01,75+ years,male,9.55
21813,Saint Vincent and Grenadines,2006-01-01,15-24 years,male,9.55
11842,Iceland,1999-01-01,15-24 years,female,9.54
699,Argentina,1994-01-01,25-34 years,male,9.54
27458,Uruguay,2006-01-01,75+ years,female,9.54
16771,Mexico,2002-01-01,25-34 years,male,9.54
22604,Singapore,2002-01-01,15-24 years,female,9.54
9455,Georgia,1990-01-01,55-74 years,male,9.54
620,Argentina,1987-01-01,55-74 years,female,9.54
16113,Malta,2010-01-01,25-34 years,male,9.54
5361,Chile,1993-01-01,15-24 years,male,9.54
19357,Portugal,1985-01-01,15-24 years,male,9.54
8011,Ecuador,2011-01-01,35-54 years,male,9.54
8003,Ecuador,2010-01-01,55-74 years,male,9.53
21346,Saint Lucia,1990-01-01,25-34 years,female,9.53
7298,Czech Republic,2006-01-01,75+ years,female,9.53
8920,Finland,2002-01-01,25-34 years,female,9.53
25999,Turkmenistan,2010-01-01,25-34 years,male,9.53
26489,United Kingdom,1986-01-01,15-24 years,male,9.52
9975,Germany,2012-01-01,15-24 years,male,9.52
12671,Israel,2006-01-01,25-34 years,male,9.52
15923,Malta,1994-01-01,35-54 years,male,9.52
17418,Netherlands,2014-01-01,35-54 years,female,9.52
10103,Greece,1991-01-01,55-74 years,male,9.52
24616,Sweden,2007-01-01,55-74 years,female,9.52
6309,Costa Rica,2010-01-01,15-24 years,male,9.52
2309,Azerbaijan,2001-01-01,55-74 years,male,9.52
4415,Brazil,2005-01-01,25-34 years,male,9.52
4821,Bulgaria,2008-01-01,15-24 years,male,9.52
16137,Malta,2012-01-01,25-34 years,male,9.51
18459,Panama,2007-01-01,25-34 years,male,9.51
25061,Thailand,1994-01-01,75+ years,male,9.51
4968,Canada,1989-01-01,35-54 years,female,9.51
17298,Netherlands,2004-01-01,35-54 years,female,9.51
20346,Republic of Korea,1994-01-01,55-74 years,female,9.51
4073,Belize,2009-01-01,55-74 years,male,9.5
27494,Uruguay,2009-01-01,75+ years,female,9.5
12858,Italy,1990-01-01,75+ years,female,9.5
25518,Trinidad and Tobago,2002-01-01,25-34 years,female,9.5
3538,Belgium,1993-01-01,25-34 years,female,9.49
658,Argentina,1990-01-01,75+ years,female,9.49
